Gender,Age,Education,Income,Income2,Occupation,State,Relationship.Status,Obligation,Obligation2,NEP,Vacation.Behaviour,rest and relax,luxury / be spoilt,do sports,"excitement, a challenge",not exceed planned budget,realise creativity,fun and entertainment,good company,health and beauty,free-and-easy-going,entertainment facilities,not care about prices,life style of the local people,intense experience of nature,cosiness/familiar atmosphere,maintain unspoilt surroundings,everything organised,unspoilt nature/natural landscape,cultural offers,change of surroundings,Cluster
Female,25,6.0,"$30,001 to $60,000",30-60k,Clerical or service worker,VIC,single,4.8,Q4,3.2,2.06666666666667,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,2
Female,31,8.0,"$120,001 to $150,000",>120k,professional,WA,married,3.3,Q1,3.4,2.0,yes,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,no,yes,1
Male,21,3.0,"$90,001 to $120,000",90-120k,,NSW,single,3.4,Q2,3.06666666666667,1.23333333333333,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,yes,no,2
Female,18,2.0,"$30,001 to $60,000",30-60k,unemployed,NSW,single,2.63333333333333,Q1,3.4,2.16666666666667,yes,yes,no,no,yes,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,1
Male,61,3.0,"Less than $30,000",<30k,retired,WA,married,3.4,Q2,3.73333333333333,1.72413793103448,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,2
Female,63,7.0,"$30,001 to $60,000",30-60k,retired,QLD,married,4.4,Q4,4.26666666666667,3.3,yes,no,no,no,yes,no,no,yes,no,yes,no,no,no,no,yes,no,no,no,no,no,2
Male,58,2.0,"Less than $30,000",<30k,retired,Tas,separated or divorced,3.43333333333333,Q2,3.26666666666667,3.66666666666667,yes,yes,no,no,yes,no,no,no,no,yes,no,no,no,no,no,yes,yes,no,no,yes,2
Male,41,8.0,"$30,001 to $60,000",30-60k,manager or administrator,VIC,living with a partner,4.26666666666667,Q4,4.26666666666667,3.23529411764706,yes,yes,yes,yes,yes,no,yes,no,no,no,no,yes,yes,no,no,yes,no,yes,yes,yes,1
Female,36,8.0,"$90,001 to $120,000",90-120k,manager or administrator,NSW,separated or divorced,3.7,Q2,2.93333333333333,2.74074074074074,yes,yes,no,yes,yes,no,yes,yes,no,yes,yes,no,no,no,no,no,yes,no,no,yes,1
Female,56,2.0,"$30,001 to $60,000",30-60k,retired,NSW,married,4.16666666666667,Q3,3.6,2.75,yes,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,yes,2
Male,30,8.0,"$120,001 to $150,000",>120k,professional,VIC,living with a partner,4.13333333333333,Q3,3.6,2.93333333333333,yes,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,1
Male,40,6.0,"$120,001 to $150,000",>120k,manager or administrator,NSW,living with a partner,4.33333333333333,Q4,3.93333333333333,3.17241379310345,yes,no,no,no,no,no,yes,yes,no,no,no,yes,yes,no,no,yes,no,no,no,yes,1
Female,75,4.0,"Less than $30,000",<30k,retired,SA,widowed,4.06666666666667,Q3,4.06666666666667,3.46666666666667,yes,yes,no,no,yes,no,no,yes,no,yes,yes,no,yes,yes,yes,yes,yes,yes,no,no,0
Female,50,7.0,"Less than $30,000",<30k,unemployed,NSW,separated or divorced,4.66666666666667,Q4,4.2,3.71428571428571,yes,yes,no,no,yes,no,no,no,no,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,0
Male,62,3.0,"Less than $30,000",<30k,sales,WA,married,4.13333333333333,Q3,3.93333333333333,3.07407407407407,yes,yes,no,yes,yes,no,no,yes,no,yes,no,no,yes,no,no,no,no,no,yes,yes,1
Male,33,3.0,"Less than $30,000",<30k,professional,WA,separated or divorced,3.63333333333333,Q2,4.13333333333333,2.0,yes,no,no,no,yes,no,no,yes,no,no,yes,no,yes,no,no,no,no,no,no,no,2
